username,input_image,garment_image,output_image_one,output_image_two
binduramesh,photo.jpg,white.png,data/virtual_try_on\binduramesh\photo_white_1.jpg,data/virtual_try_on\binduramesh\photo_white_2.jpg
binduramesh,WhatsApp Image.jpg,42248.jpg,app/static/virtual_try_on\binduramesh\WhatsApp Image_42248_1.jpg,app/static/virtual_try_on\binduramesh\WhatsApp Image_42248_2.jpg
binduramesh,WhatsApp Image.jpg,7504.jpg,app/static/virtual_try_on\binduramesh\WhatsApp Image_7504_1.jpg,app/static/virtual_try_on\binduramesh\WhatsApp Image_7504_2.jpg
binduramesh,IMG_6708.jpg,39171.jpg,app/static/virtual_try_on\binduramesh\IMG_6708_39171_1.jpg,app/static/virtual_try_on\binduramesh\IMG_6708_39171_2.jpg
binduramesh,IMG_6708.jpg,22392.jpg,app/static/virtual_try_on\binduramesh\IMG_6708_22392_1.jpg,app/static/virtual_try_on\binduramesh\IMG_6708_22392_2.jpg
binduramesh,IMG_6708.jpg,40382.jpg,app/static/virtual_try_on\binduramesh\IMG_6708_40382_1.jpg,app/static/virtual_try_on\binduramesh\IMG_6708_40382_2.jpg
binduramesh,IMG_6708.jpg,41401.jpg,app/static/virtual_try_on\binduramesh\IMG_6708_41401_1.jpg,app/static/virtual_try_on\binduramesh\IMG_6708_41401_2.jpg
binduramesh,IMG_6708.jpg,51452.jpg,app/static/virtual_try_on\binduramesh\IMG_6708_51452_1.jpg,app/static/virtual_try_on\binduramesh\IMG_6708_51452_2.jpg
binduramesh,IMG_6708.jpg,46247.jpg,app/static/virtual_try_on\binduramesh\IMG_6708_46247_1.jpg,app/static/virtual_try_on\binduramesh\IMG_6708_46247_2.jpg
binduramesh,IMG_6708.jpg,13270.jpg,app/static/virtual_try_on\binduramesh\IMG_6708_13270_1.jpg,app/static/virtual_try_on\binduramesh\IMG_6708_13270_2.jpg
binduramesh,IMG_6708.jpg,7504.jpg,app/static/virtual_try_on\binduramesh\IMG_6708_7504_1.jpg,app/static/virtual_try_on\binduramesh\IMG_6708_7504_2.jpg
binduramesh,IMG_6708.jpg,33026.jpg,app/static/virtual_try_on\binduramesh\IMG_6708_33026_1.jpg,app/static/virtual_try_on\binduramesh\IMG_6708_33026_2.jpg
binduramesh,IMG_6708.jpg,41406.jpg,app/static/virtual_try_on\binduramesh\IMG_6708_41406_1.jpg,app/static/virtual_try_on\binduramesh\IMG_6708_41406_2.jpg
binduramesh,IMG_6708.jpg,28690.jpg,app/static/virtual_try_on\binduramesh\IMG_6708_28690_1.jpg,app/static/virtual_try_on\binduramesh\IMG_6708_28690_2.jpg
binduramesh,IMG_6708.jpg,28469.jpg,app/static/virtual_try_on\binduramesh\IMG_6708_28469_1.jpg,app/static/virtual_try_on\binduramesh\IMG_6708_28469_2.jpg
binduramesh,IMG_6708.jpg,3954.jpg,app/static/virtual_try_on\binduramesh\IMG_6708_3954_1.jpg,app/static/virtual_try_on\binduramesh\IMG_6708_3954_2.jpg
manojr15,manojr15_WhatsApp_Image.jpg,41401.jpg,app/static/virtual_try_on\manojr15\manojr15_WhatsApp_Image_41401_1.jpg,app/static/virtual_try_on\manojr15\manojr15_WhatsApp_Image_41401_2.jpg
manojr15,manojr15_WhatsApp_Image.jpg,28469.jpg,app/static/virtual_try_on\manojr15\manojr15_WhatsApp_Image_28469_1.jpg,app/static/virtual_try_on\manojr15\manojr15_WhatsApp_Image_28469_2.jpg
binduramesh,binduramesh_IMG_8245.jpeg,42248.jpg,app/static/virtual_try_on\binduramesh\binduramesh_IMG_8245_42248_1.jpg,app/static/virtual_try_on\binduramesh\binduramesh_IMG_8245_42248_2.jpg
manojraj15,manojraj15_IMG_4827.jpeg,13870.jpg,app/static/virtual_try_on\manojraj15\manojraj15_IMG_4827_13870_1.jpg,app/static/virtual_try_on\manojraj15\manojraj15_IMG_4827_13870_2.jpg
manojraj15,manojraj15_sample1.jpg,15984.jpg,app/static/virtual_try_on\manojraj15\manojraj15_sample1_15984_1.jpg,app/static/virtual_try_on\manojraj15\manojraj15_sample1_15984_2.jpg
manojraj15,manojraj15_sample1.jpg,58744.jpg,app/static/virtual_try_on\manojraj15\manojraj15_sample1_58744_1.jpg,app/static/virtual_try_on\manojraj15\manojraj15_sample1_58744_2.jpg
manojraj15,manojraj15_sample1.jpg,13870.jpg,app/static/virtual_try_on\manojraj15\manojraj15_sample1_13870_1.jpg,app/static/virtual_try_on\manojraj15\manojraj15_sample1_13870_2.jpg
manojraj15,manojraj15_sample1.jpg,34235.jpg,app/static/virtual_try_on\manojraj15\manojraj15_sample1_34235_1.jpg,app/static/virtual_try_on\manojraj15\manojraj15_sample1_34235_2.jpg
manojraj15,manojraj15_sample1.jpg,54915.jpg,app/static/virtual_try_on\manojraj15\manojraj15_sample1_54915_1.jpg,app/static/virtual_try_on\manojraj15\manojraj15_sample1_54915_2.jpg
manojraj15,manojraj15_sample1.jpg,52074.jpg,app/static/virtual_try_on\manojraj15\manojraj15_sample1_52074_1.jpg,app/static/virtual_try_on\manojraj15\manojraj15_sample1_52074_2.jpg
manojraj15,manojraj15_sample1.jpg,3730.jpg,app/static/virtual_try_on\manojraj15\manojraj15_sample1_3730_1.jpg,app/static/virtual_try_on\manojraj15\manojraj15_sample1_3730_2.jpg
manu566,manu566_IMG-20241031-WA0013.jpg,15983.jpg,app/static/virtual_try_on\manu566\manu566_IMG-20241031-WA0013_15983_1.jpg,app/static/virtual_try_on\manu566\manu566_IMG-20241031-WA0013_15983_2.jpg
manojr15,manojr15_virtual_try_on.jpg,58744.jpg,app/static/virtual_try_on\manojr15\manojr15_virtual_try_on_58744_1.jpg,app/static/virtual_try_on\manojr15\manojr15_virtual_try_on_58744_2.jpg
manojr15,manojr15_virtual_try_on.jpg,54946.jpg,app/static/virtual_try_on\manojr15\manojr15_virtual_try_on_54946_1.jpg,app/static/virtual_try_on\manojr15\manojr15_virtual_try_on_54946_2.jpg
manojr15,manojr15_virtual_try_on.jpg,54915.jpg,app/static/virtual_try_on\manojr15\manojr15_virtual_try_on_54915_1.jpg,app/static/virtual_try_on\manojr15\manojr15_virtual_try_on_54915_2.jpg
manojr15,manojr15_virtual_try_on.jpg,2014.jpg,app/static/virtual_try_on\manojr15\manojr15_virtual_try_on_2014_1.jpg,app/static/virtual_try_on\manojr15\manojr15_virtual_try_on_2014_2.jpg
binny,binny_WhatsApp_Image_2025-02-24_at_11.30.44_AM.jpeg,16392.jpg,app/static/virtual_try_on\binny\binny_WhatsApp_Image_2025-02-24_at_11.30.44_AM_16392_1.jpg,app/static/virtual_try_on\binny\binny_WhatsApp_Image_2025-02-24_at_11.30.44_AM_16392_2.jpg
binny,binny_WhatsApp_Image_2025-02-24_at_11.30.44_AM.jpeg,11527.jpg,app/static/virtual_try_on\binny\binny_WhatsApp_Image_2025-02-24_at_11.30.44_AM_11527_1.jpg,app/static/virtual_try_on\binny\binny_WhatsApp_Image_2025-02-24_at_11.30.44_AM_11527_2.jpg
binny,binny_WhatsApp_Image_2025-02-24_at_11.30.44_AM.jpeg,9452.jpg,app/static/virtual_try_on\binny\binny_WhatsApp_Image_2025-02-24_at_11.30.44_AM_9452_1.jpg,app/static/virtual_try_on\binny\binny_WhatsApp_Image_2025-02-24_at_11.30.44_AM_9452_2.jpg
binny,binny_WhatsApp_Image_2025-02-24_at_11.30.44_AM.jpeg,10866.jpg,app/static/virtual_try_on\binny\binny_WhatsApp_Image_2025-02-24_at_11.30.44_AM_10866_1.jpg,app/static/virtual_try_on\binny\binny_WhatsApp_Image_2025-02-24_at_11.30.44_AM_10866_2.jpg
binny,binny_WhatsApp_Image_2025-02-24_at_11.30.44_AM.jpeg,15983.jpg,app/static/virtual_try_on\binny\binny_WhatsApp_Image_2025-02-24_at_11.30.44_AM_15983_1.jpg,app/static/virtual_try_on\binny\binny_WhatsApp_Image_2025-02-24_at_11.30.44_AM_15983_2.jpg
binny,binny_WhatsApp_Image_2025-02-24_at_11.30.44_AM.jpeg,18237.jpg,app/static/virtual_try_on\binny\binny_WhatsApp_Image_2025-02-24_at_11.30.44_AM_18237_1.jpg,app/static/virtual_try_on\binny\binny_WhatsApp_Image_2025-02-24_at_11.30.44_AM_18237_2.jpg
binny,binny_WhatsApp_Image_2025-02-24_at_11.30.44_AM.jpeg,54915.jpg,app/static/virtual_try_on\binny\binny_WhatsApp_Image_2025-02-24_at_11.30.44_AM_54915_1.jpg,app/static/virtual_try_on\binny\binny_WhatsApp_Image_2025-02-24_at_11.30.44_AM_54915_2.jpg
binny,binny_WhatsApp_Image_2025-02-24_at_11.30.44_AM.jpeg,4986.jpg,app/static/virtual_try_on\binny\binny_WhatsApp_Image_2025-02-24_at_11.30.44_AM_4986_1.jpg,app/static/virtual_try_on\binny\binny_WhatsApp_Image_2025-02-24_at_11.30.44_AM_4986_2.jpg
binny,binny_WhatsApp_Image_2025-02-24_at_11.30.44_AM.jpeg,9455.jpg,app/static/virtual_try_on\binny\binny_WhatsApp_Image_2025-02-24_at_11.30.44_AM_9455_1.jpg,app/static/virtual_try_on\binny\binny_WhatsApp_Image_2025-02-24_at_11.30.44_AM_9455_2.jpg
